num_tasks,runtime_rank
96,2.697074
96,2.697391
96,2.697683
96,2.697618
96,2.698197
96,2.698621
96,2.698490
96,2.698617
96,2.697183
96,2.761788
96,2.761890
96,2.761854
96,2.761805
96,2.862193
96,2.862550
96,2.862393
96,2.761821
96,2.862227
96,2.862410
96,2.862429
96,2.862120
96,2.862162
96,2.862385
96,2.862239
96,2.862270
96,2.862254
96,2.862054
96,2.862369
96,2.862356
96,2.862405
96,2.862373
96,2.862303
96,2.862092
96,2.862348
96,2.862402
96,2.862303
96,2.862028
96,2.862237
96,2.862230
96,2.862189
96,2.862106
96,2.862347
96,2.862201
96,2.862299
96,2.862126
96,2.862160
96,2.862297
96,2.862050
96,2.862215
96,2.862116
96,2.862157
96,2.862289
96,2.862347
96,2.861992
96,2.862135
96,2.862357
96,2.698057
96,2.862262
96,2.862284
96,2.761836
96,2.761761
96,2.862143
96,2.862200
96,2.761534
96,2.862292
96,2.696536
96,2.862170
96,2.862142
96,2.862282
96,2.894235
96,2.930185
96,2.930315
96,2.930303
96,2.930265
96,2.930407
96,2.930089
96,2.930338
96,2.930083
96,2.930131
96,2.930117
96,2.934887
96,2.936846
96,2.939784
96,2.930418
96,2.946106
96,2.939586
96,2.930234
96,2.946727
96,2.932308
2,54.162879
2,54.144215
6,23.131707
6,23.134020
6,23.136501
6,23.138748
6,23.141225
6,23.113962
12,11.987149
12,11.988503
12,11.989576
12,11.991899
12,11.994244
12,11.990799
12,11.993194
12,11.996690
12,11.998948
12,11.995331
12,11.997844
12,11.981187
24,6.327974
24,6.328627
24,6.329332
24,6.330513
24,6.331669
24,6.329860
24,6.330884
24,6.332764
24,6.333880
24,6.333357
24,6.334917
24,6.336053
24,6.335422
24,6.337428
24,6.338072
24,6.338574
24,6.339959
24,6.340479
24,6.341186
24,6.336666
24,6.339243
24,6.334383
24,6.323699
24,6.332190
48,3.676718
48,3.689152
48,3.689421
48,3.690102
48,3.690536
48,3.689703
48,3.690458
48,3.691137
48,3.691734
48,3.691882
48,3.692083
48,3.692673
48,3.692409
48,3.693398
48,3.693877
